"1","Kutin"
"1","Mbum"
"1","Dii"
"1","Kali"
"1","Fulbe"
"1","Ndoro"
"1","Suga"
"1","Gbaya"
"1","Bitare"
"1","Vute"
"1","Twendi"
"1","Tikar"
"1","Mambila"
"1","Kamkam"
"1","Konja"
"1","Mbakaou Resevoir"
"2","Maka"
"2","Sso"
"2","Bassa"
"2","Ewondo"
"2","Mvele"
"2","Eki"
"2","Vute"
"2","Gbaya"
"2","Fulbe"
"2","Tikar"
"2","Njanti"
"2","Lefa"
"2","Sanaga"
"2","Mengissa"
"2","Elip"
"2","Eton"
"2","Bati"
"2","Nubaca"
"2","Yangben"
"2","Mmaala"
"2","Mbule"
"2","Gunu"
"2","Bafia"
"2","Tuotomb"
"2","Banen"
"2","Nyokon"
"2","Yambetta"
"2","Bangangte"
"2","Dimbong"
"3","Kuo"
"3","Gbaya"
"3","Mbongo"
"3","Gbete"
"3","Bakum"
"3","Pori"
"3","Eki"
"3","Ewondo"
"3","Kako"
"3","Baka"
"3","Maka"
"3","Kol"
"3","Sso"
"3","Bajwe"
"3","Ngyeme"
"3","Njem"
"3","Mpo"
"3","Mpomam"
"3","Bangantu"
"3","Bekwil"
"3","Bomwali"
"4","Kanuri"
"4","Mandara"
"4","Vame"
"4","Parkwa"
"4","Wuzlum"
"4","Mada"
"4","Matal"
"4","Muyang"
"4","Moloko"
"4","Dugwar"
"4","Mbuko"
"4","Merey"
"4","Malakam"
"4","Zulgo-Gemzek"
"4","Molu"
"4","North Molu"
"4","Cuvok"
"4","Marva"
"4","Musaya"
"4","Massa"
"4","Fulbe"
"4","Kera"
"4","Tupuri"
"4","Mundang"
"4","Muturwa"
"4","Daba"
"4","Maragway"
"4","Tsuvan"
"4","Sharwa"
"4","Gude"
"4","Jimi"
"4","Beslori"
"4","Kapsiki"
"4","Zisiliwakan"
"4","Bana"
"4","Mya"
"4","Gawar"
"4","Buwal"
"4","Bulahai"
"4","Mabas"
"4","Turu"
"4","Glawda"
"4","Mandara"
"4","Kanuri"
"4","Musugum"
"4","Majora"
"4","Baldamu"
"4","Jina"
"4","Logone"
"4","Bororo"
"4","Shuwa Arabs"
"4","Kuseri"
"4","Maltam"
"4","Makari"
"4","Buduma"
"4","Afade"
"5","Moungo"
"5","Nkam"
"5","Sanaga-Maritime"
"5","Wouri"
"6","Mazagway"
"6","Daba"
"6","Gidar"
"6","Fali Durbeyi"
"6","Fali bussime"
"6","Njanyi"
"6","Fali"
"6","Bata"
"6","Nimbari"
"6","Mambal"
"6","Mudang"
"6","Fali Balefali"
"6","Fulbe"
"6","Kuo"
"6","Fali Kangu"
"6","Zime"
"6","Mono"
"6","Ngong"
"6","Duupa"
"6","Lagdo Resevoir"
"6","Dama"
"6","Ngambay"
"6","Mbum"
"6","Pana"
"6","Nzakambay"
"6","Gbaya"
"6","Kali"
"6","Dii"
"6","Pam"
"6","Ndai"
"6","Oblo"
"6","Kolbila"
"6","Chamba"
"6","Voko"
"6","Dugun"
"6","Doayo"
"6","Vere"
"6","Koma"
"6","Gimbe"
"6","Panbe"
"6","Fare Resevoir"
"7","Bui"
"7","Donga-Mantung"
"7","Menchum"
"7","Mezam"
"7","Momo"
"7","Boyo"
"7","Ngo-Ketunjia"
"8","Ewondo"
"8","Bakoko"
"8","Bassa"
"8","Maka"
"8","Sso"
"8","Bajwe"
"8","Baka"
"8","Fang"
"8","Ntumu"
"8","Mvan"
"8","Bulu"
"8","Yasa"
"8","Mabi"
"8","Batanga"
"8","Bakola"
"8","Ngumba"
"9","Fako"
"9","Koupé-Manengouba"
"9","Lebialem"
"9","Manyu"
"9","Meme"
"9","Ndian"
"10","Nyokon"
"10","Bangangte"
"10","Bangu"
"10","Bafang"
"10","Dschang"
"10","Bandjoun"
"10","Bali"
"10","Bamun"
"10","Ngiemboon"
"10","Ngomba"
"10","Babaju"
"10","Nyong"
"10","Mengaka"
"10","Bamenyam"
"10","Nso"
"10","Tikar"
"10","Bamendjing resevoir"
